"city","country","pop2023","latitude","longitude"
"Barsi","India",110983,18.2345,75.6927
"Navadwip","India",111123,23.4067,88.3686
"Achalpur","India",111278,21.2567,77.5101
"Ashoknagar Kalyangarh","India",111475,22.8642,88.637
"Chhatarpur","India",111594,24.9177,79.5887
"Bangaon","India",111693,23.0455,88.8308
"Suriapet","India",111729,17.1405,79.6205
"Port Blair","India",112050,11.6661,92.7464
"Rewari","India",112079,28.199,76.6183
"Pudukkottai","India",112118,10.3813,78.8214
"Chas","India",112141,23.6356,86.1671
"Mothihari","India",112144,26.6486,84.9166
"Chanduasi","India",112635,28.4518,78.7828
"Satara","India",112793,17.6859,73.9933
"Jhunjhunun","India",113193,28.1256,75.398
"Wardha","India",113759,20.7393,78.5978
"Maler Kotla","India",113840,30.5309,75.8795
"Dharmavaram","India",114050,14.4143,77.7204
"Balasore","India",114321,21.4927,86.9335
"Basti","India",115115,26.7882,82.7162
"Baidyabati","India",115504,22.785,88.3259
"Gudivada","India",116161,16.4355,80.9956
"Yelahanka","India",116447,13.1007,77.5963
"Azamgarh","India",116644,26.0683,83.1836
"Rishra","India",117014,22.7239,88.3456
"Botad","India",117053,22.1692,71.6667
"Khanna","India",117137,30.7055,76.222
"Patan","India",117863,23.8507,72.1296
"Morbi","India",118022,22.8173,70.8377
"Jetpur","India",118068,21.7548,70.6235
"Uppal Kalan","India",118259,17.4058,78.5591
"Chicacole","India",118299,18.2989,83.8975
"Adilabad","India",118526,19.672,78.5359
"Damoh","India",118776,23.8331,79.4419
"Siwan","India",119181,26.221,84.3561
"Deoli","India",120000,28.5025,77.2312
"Gangapur","India",120115,26.4725,76.7174
"Guntakal Junction","India",120964,15.1711,77.3624
"Raigarh","India",121278,21.8976,83.3966
"Chikmagalur","India",121484,13.3223,75.774
"Vejalpur","India",121610,22.6902,73.563
"Bhadreswar","India",121662,22.8245,88.3384
"Nalgonda","India",121826,17.0544,79.2671
"Palwal","India",121965,28.1447,77.3255
"Dibrugarh","India",122155,27.4799,94.9084
"Puruliya","India",122533,23.3306,86.363
"Hardoi","India",122635,27.3949,80.1317
"Dam Dam","India",122719,22.6334,88.4229
"Palanpur","India",123294,24.1713,72.4383
"Mohali","India",123484,30.68,76.7221
"Darjiling","India",123797,27.0333,88.2667
"Rajapalaiyam","India",124168,9.45296,77.5534
"Gondia","India",124897,21.4603,80.192
"Mandsaur","India",124988,24.0718,75.0699
"Kolar","India",126441,13.1377,78.13
"Lalitpur","India",126475,24.6901,78.4192
"Hathras","India",126882,27.5955,78.052
"Bettiah","India",127008,26.8023,84.5031
"Cuddapah","India",127010,14.4799,78.8235
"Titagarh","India",127751,22.7425,88.3733
"Panvel","India",128046,18.9888,73.1101
"Halisahar","India",128172,22.9322,88.4186
"Yavatmal","India",128175,20.3932,78.132
"Khardah","India",128346,22.7186,88.3781
"Hassan","India",128531,13.0071,76.0962
"Deoria","India",129570,26.5017,83.7794
"Dehri","India",129938,24.9025,84.1822
"Moga","India",130549,30.8138,75.1688
"Abohar","India",130603,30.1445,74.1955
"Beawar","India",130777,26.1012,74.3203
"Pilibhit","India",131008,28.6312,79.8044
"Raniganj","India",131261,23.6164,87.1306
"Kishangarh","India",131749,26.5901,74.854
"Godhra","India",131913,22.7755,73.6149
"Palghat","India",132728,10.7732,76.6537
"Shillong","India",132842,25.5689,91.8831
"Hindupur","India",133298,13.8281,77.4914
"Bhuj","India",133459,23.254,69.6693
"Gonda City","India",133583,27.1318,81.9533
"Hajipur","India",133606,25.6854,85.2098
"Bankura","India",133966,23.2324,87.0716
"Mandya","India",134845,12.5223,76.8975
"Chhindwara","India",134847,22.057,78.9396
"Robertsonpet","India",135218,12.9563,78.2754
"Dimapur","India",135860,25.9117,93.7217
"Mahbubnagar","India",136135,16.7439,77.986
"Kanchrapara","India",136954,22.96,88.4285
"Anand","India",138009,22.5525,72.9552
"Tiruvannamalai","India",138243,12.2266,79.0746
"Thanesar","India",138279,29.9732,76.8321
"Chitradurga","India",138587,14.2226,76.4004
"Porbandar","India",138872,21.6422,69.6093
"Kumbakonam","India",139264,10.9621,79.3912
"Habra","India",139297,22.842,88.6561
"Haldwani","India",139497,29.2225,79.5286
"Vidisha","India",140045,23.526,77.8109
"Hazaribagh","India",140063,23.9924,85.3616
"Lakhimpur","India",140223,27.9482,80.7794
"Kaithal","India",140604,29.8015,76.3996
"Balurghat","India",141404,25.221,88.7773
"Bhimavaram","India",142967,16.5408,81.5232
"Batala","India",145468,31.8092,75.2029
"Saharsa","India",145764,25.875,86.5961
"Krishnanagar","India",145926,23.4058,88.4907
"Ambala","India",146787,30.361,76.7978
"Erode","India",147270,11.3428,77.7274
"Barakpur","India",148174,22.766,88.3634
"Shantipur","India",149983,23.2472,88.433
"Malkajgiri","India",150000,17.4478,78.5263
"Virar","India",150357,19.4559,72.8114
"Serilingampalle","India",150525,17.4931,78.302
"Raj-Nandgaon","India",150755,21.0969,81.0289
"Tonk","India",151331,26.1664,75.7882
"Morena","India",152004,26.4989,77.9953
"Banda","India",152218,25.4776,80.3349
"Silchar","India",152393,24.8273,92.7979
"Dinapore","India",152940,25.6371,85.0479
"Fyzabad","India",153047,26.7755,82.1502
"Medinipur","India",153349,22.4211,87.3226
"Bharuch","India",153528,21.6948,72.9805
"Bahadurgarh","India",153613,28.6929,76.9355
"Guna","India",153689,24.6469,77.3113
"Alandur","India",153775,13.0025,80.2061
"Kanchipuram","India",155029,12.8351,79.7001
"Hanumangarh","India",155687,29.5818,74.3294
"Pallavaram","India",157145,12.968,80.1503
"Hoshiarpur","India",158142,31.5372,75.9127
"Orai","India",158265,25.9902,79.4533
"Cuddalore","India",158569,11.7562,79.7669
"Jaigaon","India",158664,26.8477,89.3756
"Jamuria","India",160242,23.7047,87.0787
"Madhyamgram","India",161126,22.6894,88.4459
